2026-01-21 10:47:54,066 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2026-01-21 10:47:54,252 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2026-01-21 10:47:55,269 [INFO] Starting full scrape
2026-01-21 10:47:55,271 [INFO] Scraping channel: lobelia4cosmetics
2026-01-21 10:49:36,420 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:36,863 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:37,321 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:37,939 [INFO] Saved 200 messages to C:\Users\Robel\OneDrive\Desktop\medical-telegram-warehouse\medical-telegram-warehouse\data\raw\telegram_messages\2026-01-21\lobelia4cosmetics.json
2026-01-21 10:49:37,941 [INFO] Scraping channel: tikvahpharma
2026-01-21 10:49:38,767 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:38,984 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:39,206 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:40,334 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:40,827 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:41,966 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:43,089 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:43,511 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:44,012 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:44,684 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:47,416 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:48,861 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:49,576 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:50,082 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:52,791 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:53,751 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
